epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
140,0.2739,0.7528,0.8586,0.8521,0.7133,0.8373,0.828,0.8092,0.8975,0.8916,0.8706,0.9284,0.9333,0.8044,0.8805,0.9029,0.7625,0.8578,0.8728,0.5571,0.75,0.6841
141,0.272,0.752,0.8567,0.853,0.7132,0.8363,0.8289,0.8139,0.9008,0.8941,0.8749,0.9303,0.9363,0.7898,0.8689,0.8965,0.7605,0.8581,0.8699,0.56,0.7456,0.6923
142,0.2728,0.7503,0.8574,0.8503,0.7134,0.8376,0.828,0.8103,0.8979,0.8926,0.8702,0.9292,0.9321,0.7828,0.8769,0.8794,0.7624,0.857,0.8735,0.5625,0.7456,0.6961
143,0.2721,0.7504,0.8563,0.8512,0.7123,0.8352,0.8288,0.8126,0.9002,0.8931,0.8719,0.9288,0.9344,0.7884,0.8676,0.8963,0.7603,0.8577,0.8701,0.5568,0.7484,0.685
144,0.2737,0.755,0.8602,0.8536,0.7119,0.836,0.8274,0.8105,0.8984,0.8924,0.8714,0.9293,0.9333,0.8094,0.8895,0.8998,0.7608,0.8567,0.8717,0.5661,0.7512,0.6967
145,0.2731,0.7497,0.8552,0.8517,0.7132,0.8376,0.8276,0.8105,0.8979,0.8927,0.8709,0.9289,0.9331,0.7807,0.8624,0.8919,0.7622,0.8577,0.8725,0.561,0.747,0.6926
146,0.2724,0.7469,0.8552,0.8479,0.7142,0.8371,0.8294,0.8115,0.9003,0.8916,0.8703,0.927,0.9344,0.7677,0.8641,0.8731,0.7615,0.8578,0.8716,0.5563,0.7447,0.6874
147,0.2726,0.751,0.8586,0.8502,0.7114,0.8366,0.8262,0.8109,0.899,0.8921,0.872,0.9292,0.934,0.7839,0.8757,0.8821,0.7639,0.8575,0.875,0.5641,0.7539,0.6914
148,0.274,0.7502,0.8544,0.8528,0.7113,0.8366,0.8261,0.8095,0.8977,0.8917,0.8705,0.9299,0.9317,0.7959,0.8647,0.9092,0.7611,0.8552,0.8737,0.553,0.7426,0.6841
149,0.2706,0.7538,0.8582,0.8543,0.7163,0.8386,0.8308,0.8103,0.8984,0.892,0.8708,0.9283,0.9335,0.7935,0.8732,0.8968,0.766,0.8612,0.8739,0.5663,0.7495,0.6985
150,0.2721,0.7535,0.8575,0.8543,0.7134,0.8386,0.8269,0.8104,0.9003,0.8903,0.8737,0.9283,0.9369,0.8003,0.8711,0.9078,0.7619,0.8561,0.8738,0.5611,0.7504,0.6898
